"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"10uf","desc","C3,","C_0603_1608Metric","libref","2","1","","",
"0.1uf","desc","C4,C5,C6,C7,C9,C11,C12,C13,C14,","C_0402_1005Metric","libref","2","9","","",
"10pf","desc","C8,C10,","C_0402_1005Metric","libref","2","2","","",
"TBD","desc","C15,C16,","C_0402_1005Metric","libref","2","2","","",
"RED","desc","D1,","LED_0603_1608Metric","libref","2","1","","",
"GREEN","desc","D2,","LED_0603_1608Metric","libref","2","1","","",
"BLUE","desc","D3,","LED_0603_1608Metric","libref","2","1","","",
"LED_YELLOW","desc","D10,D11,","LED_0603_1608Metric","libref","2","2","","",
"Conn_02x05_Counter_Clockwise","desc","J3,","Header_2x5_pin","libref","10","1","","",
"L","desc","L1,","L_0402_1005Metric","libref","2","1","","",
"1k","desc","R3,R4,R5,R8,R9,","R_0402_1005Metric","libref","2","5","","",
"10k","desc","R6,R7,","R_0402_1005Metric","libref","2","2","","",
"ESP32-S2FH4","desc","U3,","QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm","libref","73","1","","",
"Crystal_GND24_Small","desc","Y1,","Crystal_SMD_EuroQuartz_MT-4Pin_3.2x2.5mm","libref","4","1","","",
"Antenna_Chip","desc","AE1,","Johanson_2450AT43F0100","libref","2","1","","",
"TestPoint","desc","TP1,TP2,TP4,TP5,TP6,","TestPoint_Pad_D1.0mm","libref","1","5","","",
"10uf","desc","C1,C2,","C_0603_1608Metric","libref","2","2","","",
"PESD5V0L5UY","desc","D4,D5,","SOT-363_SC-70-6","libref","6","2","","",
"22","desc","R1,R2,","R_0402_1005Metric","libref","2","2","","",
"AMS1117-3.3","desc","U1,","SOT-223-3_TabPin2","libref","4","1","","",
"USBLC6-2SC6","desc","U2,","SOT-23-6","libref","6","1","","",
"TestPoint","desc","TP3,","TestPoint_Pad_D1.0mm","libref","1","1","","",
"logo","desc","logo1,","ESP-USB-Bridge","libref","0","1","","",
"Through Hole Items ",
"USB_A","desc","J1,","USB_A_CNCTech_1001-011-01101_Horizontal","libref","8","1","","",
"SW_Push","desc","SW1,","button","libref","6","1","","",
"USB_C_Receptacle_USB2.0","desc","J2,","USB_C_Receptacle","libref","20","1","","",
